  0.089 (0.000): C4030: pc: 02000138 Decode: JALR r1=0x02001134, r24=0x00000000, imm=0xfffffa98
  0.089 (0.000): C4033: pc: 02000bcc Decode: LW r10=0x00900014, r8=0x00000000, imm=0x00000008
  0.089 (0.000): C4036: pc: 02000bd0 Decode: LW r10=0x00900014, r4=0x00000000, imm=0x00000004
  0.089 (0.000): C4039: pc: 02000bd4 Decode: ADDI r0=0x00000000, r6=0x020029f4, imm=0x00000006
  0.091 (0.001): C4042: pc: 02000bd8 Decode: BGEU r13=0x00000000, r14=0x00040000, imm=0x00000020
  0.091 (0.000): C4045: pc: 02000bdc Decode: LW r10=0x00900014, r0=0x00000000, imm=0x00000000
  0.091 (0.000): C4048: pc: 02000be0 Decode: SLLI r13=0x00000000, r2=0x008fff8c, imm=0x00000002
  0.091 (0.000): C4051: pc: 02000be4 Decode: ADD r12=0x03f00000, r14=0x00000000, imm=0x00000000
  0.091 (0.000): C4054: pc: 02000be8 Decode: SW r12=0x03f00000, r11=0x00000187, imm=0x00000000
  0.091 (0.000): C4057: pc: 02000bec Decode: ADDI r13=0x00000000, r1=0x0200013c, imm=0x00000001
  0.091 (0.000): C4060: pc: 02000bf0 Decode: SW r10=0x00900014, r11=0x00000001, imm=0x00000008
  0.091 (0.000): C4063: pc: 02000bf4 Decode: ADDI r0=0x00000000, r7=0x00000000, imm=0x00000007
  0.091 (0.000): C4066: pc: 02000bf8 Decode: ADDI r12=0x00000007, r0=0x00000000, imm=0x00000000
  0.091 (0.000): C4069: pc: 02000bfc Decode: JALR r1=0x0200013c, r0=0x00000000, imm=0x00000000
  0.091 (0.000): C4072: pc: 0200013c Decode: ANDI r10=0x00000007, r31=0x00000000, imm=0x000000ff
  0.091 (0.000): C4075: pc: 02000140 Decode: ADDI r0=0x00000000, r7=0x00000000, imm=0x00000007
  0.091 (0.000): C4078: pc: 02000144 Decode: BNE r10=0x00000007, r18=0x00000007, imm=0x00000078
  0.091 (0.000): C4081: pc: 02000148 Decode: ADDI r9=0x00900014, r0=0x00000000, imm=0x00000000
  0.091 (0.000): C4084: pc: 0200014c Decode: ADDI r8=0x00000000, r0=0x00000000, imm=0x00000000
  0.091 (0.000): C4087: pc: 02000150 Decode: AUIPC r0=0x00000000, r0=0x00000000, imm=0x00001000
  0.091 (0.000): C4090: pc: 02000154 Decode: JALR r1=0x02001150, r28=0x00000000, imm=0xfffffa7c
  0.091 (0.000): C4093: pc: 02000bcc Decode: LW r10=0x00900014, r8=0x00000000, imm=0x00000008
  0.091 (0.000): C4096: pc: 02000bd0 Decode: LW r10=0x00900014, r4=0x00000000, imm=0x00000004
  0.091 (0.000): C4099: pc: 02000bd4 Decode: ADDI r0=0x00000000, r6=0x020029f4, imm=0x00000006
  0.091 (0.000): C4102: pc: 02000bd8 Decode: BGEU r13=0x00000001, r14=0x00040000, imm=0x00000020
  0.091 (0.000): C4105: pc: 02000bdc Decode: LW r10=0x00900014, r0=0x00000000, imm=0x00000000
  0.092 (0.000): C4108: pc: 02000be0 Decode: SLLI r13=0x00000001, r2=0x008fff8c, imm=0x00000002
  0.092 (0.000): C4111: pc: 02000be4 Decode: ADD r12=0x03f00000, r14=0x00000004, imm=0x00000000
  0.092 (0.000): C4114: pc: 02000be8 Decode: SW r12=0x03f00004, r11=0x00000000, imm=0x00000000
